long,lat,year,rcp,vwc_winter_whole,vwc_spring_whole,vwc_summer_whole,vwc_fall_whole
-110.0472,37.60413,1980,historical,,,,
-110.0472,37.60413,1980,historical,,,,
-110.0472,37.60413,1980,historical,,,,
-110.0472,37.60413,1980,historical,,,,
-110.0472,37.60413,1980,historical,0.113446870121374,0.0968307000817686,0.0418759016244813,0.0522975530246468
-110.0472,37.60413,1981,historical,,,,
-110.0472,37.60413,1981,historical,0.0493818429749227,0.0607271763138207,0.042638677058618,0.0936706801337167
-110.0472,37.60413,1982,historical,,,,
-110.0472,37.60413,1982,historical,0.10923419815776,0.074816656350205,0.0456102614659084,0.067789179449076
-110.0472,37.60413,1983,historical,,,,
-110.0472,37.60413,1983,historical,0.120417790064078,0.102542232457485,0.0441405045657255,0.0748017843161072
-110.0472,37.60413,1984,historical,,,,
-110.0472,37.60413,1984,historical,,,,
-110.0472,37.60413,1984,historical,,,,
-110.0472,37.60413,1984,historical,,,,
-110.0472,37.60413,1984,historical,0.12020917105988,0.0778415353800625,0.0431793329961535,0.0703661709360139
-110.0472,37.60413,1985,historical,,,,
-110.0472,37.60413,1985,historical,0.118680855786845,0.106539194509477,0.0433948666674286,0.107372502142818
-110.0472,37.60413,1986,historical,,,,
-110.0472,37.60413,1986,historical,0.115208201489448,0.0759150799154722,0.0442455160278947,0.104274985193695
-110.0472,37.60413,1987,historical,,,,
-110.0472,37.60413,1987,historical,0.125524065448268,0.0917965501171645,0.0482605574067661,0.0806719957947334
-110.0472,37.60413,1988,historical,,,,
-110.0472,37.60413,1988,historical,0.116751888373809,0.089994715502913,0.0424124689764448,0.0486616953770378
-110.0472,37.60413,1989,historical,,,,
-110.0472,37.60413,1989,historical,0.0491748863653843,0.0544614355128569,0.0436590329146498,0.0415335584513754
-110.0472,37.60413,1990,historical,,,,
-110.0472,37.60413,1990,historical,0.0441438871862895,0.0438770082230201,0.0418545418777248,0.0771023444667715
-110.0472,37.60413,1991,historical,,,,
-110.0472,37.60413,1991,historical,0.0871769107161254,0.0817615782191593,0.0421038972135905,0.0707375484433581
-110.0472,37.60413,1992,historical,,,,
-110.0472,37.60413,1992,historical,0.114396357327604,0.094504902193448,0.0421187280018565,0.0584218588480648
-110.0472,37.60413,1993,historical,,,,
-110.0472,37.60413,1993,historical,0.106751950562354,0.0924280482671131,0.0430715815007514,0.0719443555572886
-110.0472,37.60413,1994,historical,,,,
-110.0472,37.60413,1994,historical,0.0749258422098784,0.0538488245108274,0.041020681830401,0.058611479505083
-110.0472,37.60413,1995,historical,,,,
-110.0472,37.60413,1995,historical,0.114706606442884,0.0896870196667779,0.0423227080435721,0.0423339853165871
-110.0472,37.60413,1996,historical,,,,
-110.0472,37.60413,1996,historical,0.0469670897863847,0.0423820689078954,0.0415685390386833,0.0874889805426183
-110.0472,37.60413,1997,historical,,,,
-110.0472,37.60413,1997,historical,0.135454170211653,0.0927752375046789,0.0485792226443798,0.0742889049752868
-110.0472,37.60413,1998,historical,,,,
-110.0472,37.60413,1998,historical,0.0947037592345168,0.0696585449789024,0.0425703308608947,0.0857996897702459
-110.0472,37.60413,1999,historical,,,,
-110.0472,37.60413,1999,historical,0.112194846200622,0.0723664973476061,0.0486476109817655,0.0424101112321217
-110.0472,37.60413,2000,historical,,,,
