year,drysoildays_summer_whole,evap_summer,nondryswa_summer_whole,ppt_summer,tmax_summer,vwc_summer_whole
1981,0.25597023408891006,0.8323782839679177,0.10100158309024354,0.577174838356489,0.7923993365714903,0.06623620647941497
1982,0.3245356569864346,0.6223075581534354,0.5591992882040222,0.5992693691164428,0.5939623600324744,0.07042250695026513
1983,0.1391493988344814,0.7993243137520187,0.6291621928046955,0.6648768491361399,0.0735346539297268,0.07087810009705253
1984,0.23245326073791128,0.795393448066424,0.2786199137413581,0.5648051826298719,0.25012170739685935,0.06809806039315698
1985,0.32647027654571525,0.08816081512387597,0.43661285959596885,0.1900754557683199,0.7798925038852875,0.06843222706147489
1986,0.2918178933605964,0.664557150906943,0.3766772571843131,0.6142924683168147,0.2223605481825679,0.06904424166979142
1987,0.20493326585330118,0.6040529897646916,0.8339237774543835,0.7336500153172274,0.0,0.07339654605711118
1988,0.32906868383161525,0.6509744192662203,0.2650414234428786,0.502173159491706,0.33611469324808674,0.06756639218170003
1989,0.3425232145254318,0.3574552657814831,0.2221878030191773,0.35459144430497364,0.92610503494139,0.06728559918626406
1990,0.8325800788976185,0.3223819729797961,0.025740888782473714,0.2435960685086001,0.7003669240369739,0.06565516302611517
1991,0.4012078782273856,0.5347535962055312,0.1880003623134272,0.3409789721382421,0.08673479512684246,0.0668543291363992
1992,0.32637154202557417,0.49179661387308005,0.3884902016438412,0.2886999471679314,0.053027749687752035,0.06832474517309997
1993,0.4112100963754455,0.1957924374789768,0.5052351990074591,0.28713818200723323,0.1820612027156283,0.0680316704477235
1994,0.5928607330716746,0.11047943124396986,0.07214046348220804,0.022121953494942947,0.70643099763201,0.06500464062259212
1995,0.32573453159551957,0.5994390361568549,0.40218177991427617,0.3738393722264441,0.707837110969443,0.06850563255573187
1996,1.0000000000000002,0.3784914938581154,0.007566221600439738,0.21561279607599587,0.4551550392431878,0.06523538060384272
1997,0.15764886914179654,0.4769474218337584,0.8543681029940475,0.519581502784249,0.3148637216415686,0.07283278116467602
1998,0.35890646442224194,0.3642330162362428,0.2893579565952178,0.2911926164571164,0.6811363999135249,0.06776179712188517
1999,0.10207665320953363,0.9999999999999998,0.9893181356047942,1.0,0.02030151975161054,0.07529207663479781
2000,0.6291870471415775,0.3317188141753411,0.0,0.21122908058042683,0.6218516909942213,0.06530489546794226
2001,0.19342477951930137,0.5633427736423082,0.3575209358937712,0.47257913318167727,0.45266605950939187,0.0681666197318931
2002,0.9256164702886436,0.16207247000575786,0.06755703014224168,0.05536626445231063,0.6806584478641433,0.06453078748511488
2003,0.41678743698175746,0.354053930017977,0.14152190277904908,0.28103322898499533,0.869548949927827,0.06648883347267452
2004,0.6288033733847451,0.0851845391363566,0.09743177038190076,0.03160030564079919,0.2565252456107423,0.06554341978949153
2005,0.18744821933142153,0.5113680317489575,0.6006317604228202,0.46281307353935613,0.9395694828321357,0.06957863004253247
2006,0.4004291164504805,0.5616116678798131,0.15999339824503078,0.4090835181604127,0.6339541896550838,0.06657741512626265
2007,0.3660452033780168,0.4750552460713042,0.21922199680082888,0.42019487560546626,0.48359439565770934,0.06725408410362463
2008,0.28046014937684993,0.39133324607957687,0.34053234761377094,0.35595263379260317,0.24835806589858755,0.06849274635875452
2009,0.5025731262791415,0.06905108553067874,0.06732087104385553,0.028907416311519774,0.4907929316106152,0.06529058582096843
2010,0.17354843057910507,0.5952716000141167,0.9999999999999998,0.6405044131809545,0.8161384909078162,0.07497933877618448
2011,0.42832338499645606,0.5034143381544542,0.06542144298572028,0.2697028943629644,0.3962430537928032,0.0658877823734508
2012,0.4484976950128743,0.2844535341993202,0.2912045523021811,0.34859284237917304,0.3596799748715096,0.0680273971759007
2013,0.5071799566929827,0.30891730465664957,0.3792286209267326,0.4634122075802513,1.0,0.06873057977045421
2014,0.30005686008933985,0.40121346732526164,0.3538958310679132,0.3746383220626756,0.40048553480921534,0.06834358770348264
2015,0.0,0.8659747504908435,0.7236816352026274,0.8235888272735155,0.49881671448620857,0.07253104418329609
2016,0.29086780630400777,0.4434158860057258,0.3602858505330466,0.39225190968671036,0.8537085191083911,0.06851635427983448
2017,0.30524792161839565,0.3321045608607467,0.16378770270377907,0.3297925114710915,0.7629244267231758,0.06661184925862461
2018,0.8676257728348815,0.09328399007577848,0.05351460357005333,0.17740621296746678,0.36557427037223533,0.06539685464371787
2021,0.37364302390436177,0.4025617651895279,0.4632687942090883,0.3799918695214977,0.7210862961909505,0.06890382917645518
2022,0.39966829521672453,0.3509364755752753,0.4046854689405439,0.3416776020032308,0.9161076780372195,0.0684246982431617
2023,0.3440747733593894,0.4486840817898805,0.6623496996681317,0.4589523067374767,0.8067480040805162,0.07078987928135975
2024,0.4165391686618236,0.29543008468619303,0.5623515775019285,0.329676456091845,0.9337498715248636,0.06960376877963793
